일련번호,시도,시군구,읍면동,리,구분,번,지
65441,경상북도,경산시,진량읍,평,일반,사리,
65442,경기도,용인시 처인구,양지면,주북리,일반,348,1
65443,광주광역시,광산구,삼거동,,일반,880,
65444,경상남도,하동군,적량면,동산리,산,250,1
65445,전라남도,여수시,신덕동,,일반,148,1
65446,경기도,광주시,삼동,,일반,294,24
65447,경기도,양주시,백석읍,홍죽리,일반,467,8
65448,충청남도,아산시,인주면,신성리,일반,104,7
65449,경상북도,영주시,풍기읍,백신리,일반,100,10
65450,경상북도,경산시,남산면,하대리,일반,290,1
65451,경기도,포천시,설운동,,일반,561,24
65452,제주특별자치도,서귀포시,표선면,가시리,일반,2247,1
65453,광주광역시,광산구,용동,,일반,673,12
65454,충청북도,청주시 청원구,오창읍,구룡리,일반,426,3
65455,경기도,안성시,금광면,오흥리,일반,736,7
65456,경상북도,성주군,성주읍,성산리,일반,1452,
65457,충청남도,예산군,고덕면,오추리,일반,251,8
65458,경상남도,통영시,도산면,관덕리,일반,759,
65459,경기도,시흥시,정왕동,,일반,1698,1
65460,전라남도,순천시,주암면,오산리,일반,380,
65461,경상북도,상주시,사벌국면,원흥리,일반,1456,
65462,광주광역시,광산구,월계동,,일반,775,2
65463,경상남도,창원시 진해구,안골동,,일반,358,4
65464,충청남도,태안군,소원면,모항리,일반,110,108
65465,경기도,화성시,팔탄면,매곡리,일반,187,7
65466,경상남도,창원시 진해구,명동,,산,110,
65467,경기도,평택시,청북읍,한산리,일반,560,3
65468,경기도,파주시,조리읍,오산리,일반,260,14
65469,전라남도,영암군,삼호읍,난전리,일반,1697,11
65470,경기도,양주시,남방동,,일반,226,3
65471,경기도,광주시,곤지암읍,수양리,일반,416,1
65472,충청북도,청주시 흥덕구,오송읍,봉산리,일반,379,15
65473,충청북도,청주시 흥덕구,오송읍,서평리,일반,173,16
65474,전라남도,목포시,대양동,,일반,1188,2
65475,경상남도,창원시 의창구,팔용동,,일반,6,2
65476,충청북도,충주시,주덕읍,사락리,산,3,2
65477,충청남도,천안시 동남구,풍세면,용정리,일반,363,2
65478,경기도,연천군,왕징면,강서리,일반,1039,
65479,대구광역시,달서구,신당동,,일반,321,87
65480,충청남도,서산시,성연면,오사리,일반,1784,
65481,경상북도,칠곡군,지천면,연화리,일반,1031,
65482,경기도,김포시,월곶면,고양리,산,49,33
65483,경기도,안성시,공도읍,마정리,일반,183,
65484,충청북도,충주시,대소원면,본리,일반,809,
65485,경상남도,진주시,정촌면,예하리,일반,1299,1
65486,전라남도,광양시,태인동,,일반,303,55
65487,경기도,연천군,중면,적거리,일반,368,
65488,경상남도,김해시,한림면,안하리,일반,1380,
65489,경상남도,진주시,정촌면,예하리,일반,1393,4
65490,경상북도,경주시,용강동,,일반,853,
65491,경상남도,김해시,진영읍,하계리,일반,198,1
65492,충청북도,제천시,왕암동,,산,24,3
65493,경기도,이천시,대월면,송라리,일반,223,3
65494,경상북도,구미시,산동읍,신당리,일반,1546,
65495,경상북도,청송군,파천면,송강리,일반,365,1
65496,경기도,연천군,신서면,답곡리,일반,1154,2
65497,대구광역시,달성군,유가읍,용리,일반,706,2
65498,경기도,이천시,마장면,작촌리,일반,274,
65499,제주특별자치도,제주시,구좌읍,동복리,일반,1105,
65500,경상남도,거제시,장평동,,일반,1110,9
65501,충청남도,천안시 동남구,수신면,신풍리,일반,579,
65502,경상남도,창녕군,대합면,대동리,일반,811,2
65503,경기도,파주시,탄현면,축현리,일반,108,1
65504,경기도,수원시 장안구,이목동,,일반,864,
65505,경상남도,김해시,진례면,송현리,일반,208,
65506,경기도,고양시 일산동구,설문동,,일반,530,78
65507,경기도,평택시,청북읍,고잔리,일반,938,1
65508,전라남도,여수시,웅천동,,일반,1819,8
65509,경상북도,경주시,외동읍,녹동리,일반,87,
65510,광주광역시,북구,월출동,,일반,979,14
65511,인천광역시,서구,가좌동,,일반,562,12
65512,경상북도,경주시,양남면,신서리,산,188,1
65513,전라남도,광양시,태인동,,일반,1422,6
65514,전라남도,강진군,칠량면,장계리,일반,847,12
65515,충청남도,당진시,송악읍,한진리,일반,166,59
65516,경상남도,남해군,남면,석교리,일반,1085,
65517,충청북도,청주시 흥덕구,오송읍,오송리,일반,276,377
65518,대구광역시,달성군,다사읍,세천리,일반,1701,1
65519,충청북도,청주시 흥덕구,오송읍,서평리,일반,182,5
65520,경상남도,산청군,생초면,신연리,일반,106,1
65521,전라남도,광양시,태인동,,일반,28,361
65522,경기도,화성시,팔탄면,서근리,일반,178,13
65523,대전광역시,유성구,전민동,,일반,371,14
65524,전라남도,해남군,화산면,가좌리,일반,1140,3
65525,충청북도,청주시 흥덕구,오송읍,동평리,일반,194,1
65526,충청북도,음성군,감곡면,월정리,일반,163,10
65527,경상남도,김해시,한림면,병동리,일반,995,
65528,경기도,광주시,매산동,,일반,202,1
65529,인천광역시,중구,항동7가,,일반,27,184
65530,충청남도,예산군,고덕면,상몽리,일반,483,1
65531,충청남도,서천군,장항읍,송림리,일반,3,61
65532,경상남도,합천군,야로면,매촌리,일반,675,131
65533,부산광역시,사하구,장림동,,일반,1087,15
65534,충청남도,서산시,대산읍,운산리,일반,486,36
65535,전라남도,광양시,태인동,,일반,1583,
65536,경기도,화성시,팔탄면,구장리,일반,46,7
65537,대구광역시,북구,노원동2가,,일반,71,5
65538,경상남도,김해시,주촌면,내삼리,일반,577,
